,미국 USD,일본 JPY,유럽연합 EUR,중국 CNY,WTI,국제 금
2004-04-12,1141.80,1074.13,1378.38,137.95,,
2004-04-13,1141.10,1082.12,1370.23,137.86,,
2004-04-14,1151.30,1072.87,1375.23,139.10,,
2004-04-16,1160.10,1070.20,1392.00,140.16,,
2004-04-19,1153.60,1069.63,1391.47,139.38,,
2004-04-20,1151.40,1065.03,1374.08,139.11,,
2004-04-21,1154.80,1062.18,1368.55,139.52,,
2004-04-22,1159.70,1059.18,1369.49,140.11,,
2004-04-23,1158.30,1058.58,1380.00,139.94,,
2004-04-26,1155.00,1058.27,1363.59,139.54,,
2004-04-27,1152.00,1061.95,1369.96,139.18,,
2004-04-28,1156.40,1058.30,1374.73,139.72,,
2004-04-29,1170.70,1061.09,1383.77,141.44,,
2004-04-30,1173.30,1063.35,1402.56,141.76,,
2004-05-03,1171.80,1064.11,1404.05,141.57,,
2004-05-04,1169.80,1059.12,1398.26,141.33,,
2004-05-06,1166.10,1067.76,1419.03,140.88,,
2004-05-07,1171.10,1060.30,1411.18,141.49,,
2004-05-10,1183.10,1048.01,1400.44,142.94,,
2004-05-11,1188.30,1048.35,1411.34,143.57,,
2004-05-12,1181.50,1046.96,1401.26,142.74,,
2004-05-13,1185.50,1039.18,1406.24,143.22,,
2004-05-14,1187.00,1036.77,1399.71,143.41,,
2004-05-17,1183.50,1040.99,1417.83,142.98,,
2004-05-18,1182.00,1038.76,1416.75,142.80,,
2004-05-19,1173.40,1036.21,1409.61,141.76,,
2004-05-20,1179.80,1038.92,1406.68,142.54,,
2004-05-21,1175.30,1050.03,1411.89,141.99,,
2004-05-24,1177.20,1044.54,1405.81,142.22,,
2004-05-25,1177.70,1045.26,1419.72,142.28,,
2004-05-27,1169.80,1050.66,1423.06,141.33,,
2004-05-28,1165.00,1053.54,1431.20,140.75,,
2004-05-31,1160.10,1059.55,1416.25,140.16,,
2004-06-01,1160.60,1058.84,1421.74,140.22,,
2004-06-02,1164.80,1053.74,1430.14,140.73,,
2004-06-03,1164.40,1051.57,1423.13,140.68,,
2004-06-04,1163.80,1047.05,1420.77,140.61,,
2004-06-07,1159.20,1052.10,1429.18,140.06,,
2004-06-08,1157.90,1054.84,1427.57,139.90,,
2004-06-09,1154.20,1058.41,1413.55,139.45,,
2004-06-10,1159.40,1053.43,1398.47,140.08,,
2004-06-11,1164.00,1053.78,1395.87,140.63,,
2004-06-14,1162.40,1047.02,1392.32,140.44,,
2004-06-15,1163.40,1050.00,1403.76,140.56,,
2004-06-16,1157.10,1055.17,1406.17,139.80,,
2004-06-17,1157.30,1055.45,1391.54,139.83,,
2004-06-18,1160.00,1059.07,1392.23,140.15,,
2004-06-21,1156.70,1066.08,1403.60,139.76,,
2004-06-22,1158.40,1065.69,1400.27,139.96,,
2004-06-23,1159.90,1068.64,1413.69,140.14,,
2004-06-24,1155.70,1067.42,1394.35,139.63,,
2004-06-25,1149.80,1069.58,1397.47,138.92,,
2004-06-28,1152.50,1068.81,1398.44,139.25,,
2004-06-29,1151.90,1063.82,1402.09,139.18,,
2004-06-30,1155.50,1061.65,1394.69,139.61,,
2004-07-01,1152.70,1065.93,1403.30,139.27,,
2004-07-02,1155.10,1059.53,1406.45,139.56,,
2004-07-05,1152.70,1059.95,1421.51,139.27,,
2004-07-06,1154.90,1055.76,1422.26,139.53,,
2004-07-07,1152.00,1059.60,1422.26,139.18,,
2004-07-08,1150.00,1056.50,1421.06,138.94,,
2004-07-09,1149.30,1062.20,1427.78,138.86,,
2004-07-12,1147.60,1064.27,1423.94,138.65,,
2004-07-13,1149.80,1056.80,1421.50,138.92,,
2004-07-14,1153.00,1054.89,1423.03,139.31,,
2004-07-15,1160.90,1061.05,1433.60,140.26,,
2004-07-16,1164.50,1060.95,1440.49,140.70,,
2004-07-19,1157.50,1068.59,1439.70,139.85,,
2004-07-20,1160.70,1069.47,1444.49,140.24,,
2004-07-21,1159.00,1067.12,1428.93,140.03,,
2004-07-22,1162.40,1059.42,1424.93,140.44,,
2004-07-23,1166.20,1061.24,1426.96,140.90,,
2004-07-26,1161.30,1059.97,1410.05,140.31,,
2004-07-27,1164.80,1059.87,1414.53,140.73,,
2004-07-28,1167.40,1050.95,1408.47,141.05,,
2004-07-29,1168.30,1046.11,1409.90,141.15,,
2004-07-30,1170.00,1046.70,1409.38,141.36,,
2004-08-02,1164.80,1046.82,1404.63,140.73,,
2004-08-03,1165.00,1048.13,1399.75,140.75,,
2004-08-04,1167.60,1048.40,1404.51,141.07,,
2004-08-05,1163.40,1048.86,1403.99,140.56,,
2004-08-06,1162.60,1041.94,1403.61,140.46,,
2004-08-09,1156.30,1048.42,1419.07,139.70,,
2004-08-10,1155.00,1043.08,1418.34,139.54,,
2004-08-11,1159.70,1042.71,1420.40,140.11,,
2004-08-12,1157.80,1045.32,1417.61,139.88,,
2004-08-13,1162.30,1038.42,1417.19,140.43,,
2004-08-16,1159.10,1046.40,1432.88,140.04,,
2004-08-17,1157.60,1049.03,1432.41,139.86,,
2004-08-18,1157.80,1053.79,1429.13,139.89,,
2004-08-19,1155.10,1055.56,1426.78,139.56,,
2004-08-20,1154.30,1057.05,1427.75,139.46,,
2004-08-23,1153.20,1054.88,1418.44,139.33,,
2004-08-24,1156.00,1051.20,1404.02,139.67,,
2004-08-25,1156.40,1055.21,1397.74,139.72,,
2004-08-26,1153.70,1047.77,1394.82,139.39,,
2004-08-27,1153.00,1054.61,1398.82,139.31,,
2004-08-30,1154.50,1047.17,1387.59,139.49,,
2004-08-31,1153.00,1050.57,1393.05,139.31,,
2004-09-01,1151.70,1052.74,1401.85,139.15,,
2004-09-02,1150.50,1050.59,1401.31,139.01,,
2004-09-03,1150.00,1047.65,1399.26,138.94,,
2004-09-06,1152.80,1046.48,1391.89,139.28,,
2004-09-07,1150.80,1049.04,1390.86,139.04,,
2004-09-08,1149.60,1050.49,1388.14,138.90,,
2004-09-09,1145.10,1046.52,1395.88,138.35,,
2004-09-10,1145.80,1041.07,1402.92,138.44,,
2004-09-13,1145.00,1044.99,1404.57,138.34,,
2004-09-14,1145.10,1041.95,1406.18,138.35,,
2004-09-15,1144.10,1044.55,1400.38,138.23,,
2004-09-16,1145.80,1041.40,1392.66,138.44,,
2004-09-17,1146.50,1045.50,1397.58,138.52,,
2004-09-20,1146.20,1043.23,1394.93,138.49,,
2004-09-21,1146.90,1041.88,1397.27,138.57,,
2004-09-22,1144.20,1041.98,1410.23,138.25,,
2004-09-23,1146.30,1035.88,1407.54,138.50,,
2004-09-24,1149.30,1038.49,1411.80,138.86,,
2004-09-30,1151.80,1038.97,1421.15,139.16,,
2004-10-01,1148.60,1041.63,1427.59,138.78,,
2004-10-04,1149.60,1038.15,1421.94,138.90,,
2004-10-05,1148.60,1035.52,1411.11,138.78,,
2004-10-06,1152.50,1036.33,1418.15,139.25,,
2004-10-07,1150.10,1034.17,1415.54,138.96,,
2004-10-08,1147.90,1039.67,1416.05,138.69,,
2004-10-11,1146.00,1049.16,1422.24,138.46,,
2004-10-12,1146.00,1044.00,1413.48,138.46,,
2004-10-13,1147.10,1044.15,1414.37,138.60,,
2004-10-14,1144.50,1044.16,1415.17,138.28,,
2004-10-15,1145.40,1045.12,1419.38,138.39,,
2004-10-18,1143.60,1046.63,1428.13,138.17,,
2004-10-19,1145.00,1046.33,1427.01,138.34,,
2004-10-20,1142.80,1054.24,1430.79,138.08,,
2004-10-21,1141.10,1058.83,1436.87,137.87,,
2004-10-22,1140.50,1059.55,1441.14,137.80,,
2004-10-25,1136.20,1063.66,1450.81,137.28,,
2004-10-26,1133.50,1060.93,1452.13,136.95,,
2004-10-27,1128.90,1056.53,1441.38,136.40,,
2004-10-28,1125.00,1059.32,1432.91,135.93,,
2004-10-29,1119.60,1055.43,1428.95,135.27,,
2004-11-01,1119.00,1052.88,1431.09,135.20,,
2004-11-02,1114.80,1048.04,1418.58,134.69,,
2004-11-03,1116.20,1050.15,1420.92,134.86,,
2004-11-04,1113.50,1047.61,1429.18,134.54,,
2004-11-05,1110.50,1046.65,1430.88,134.18,,
2004-11-08,1105.20,1048.18,1434.55,133.53,,
2004-11-09,1103.50,1044.49,1426.27,133.33,,
2004-11-10,1110.40,1049.03,1433.53,134.16,,
2004-11-11,1112.10,1039.20,1433.22,134.37,,
2004-11-12,1104.50,1041.69,1427.23,133.45,,
2004-11-15,1092.00,1037.04,1417.09,131.94,,
2004-11-16,1090.30,1033.75,1410.85,131.73,,
2004-11-17,1081.40,1026.48,1404.09,130.66,,
2004-11-18,1065.40,1026.99,1391.63,128.73,,
2004-11-19,1068.70,1026.81,1386.32,129.12,,
2004-11-22,1065.30,1031.47,1388.83,128.71,,
2004-11-23,1065.80,1030.75,1384.58,128.77,,
2004-11-24,1066.60,1030.73,1397.78,128.87,,
2004-11-25,1057.20,1029.21,1394.34,127.74,,
2004-11-26,1047.00,1022.26,1391.88,126.50,,
2004-11-29,1047.00,1017.29,1388.95,126.50,,
2004-11-30,1048.00,1016.98,1390.70,126.62,,
2004-12-01,1046.00,1018.20,1394.11,126.38,,
2004-12-02,1041.50,1019.28,1391.76,125.84,,
2004-12-03,1045.30,1009.76,1388.89,126.30,,
2004-12-06,1040.80,1017.60,1398.11,125.75,,
2004-12-07,1041.80,1016.69,1401.85,125.87,,
2004-12-08,1058.50,1023.30,1415.43,127.89,,
2004-12-09,1055.30,1014.03,1406.19,127.51,,
2004-12-10,1067.50,1013.00,1413.58,128.98,,
2004-12-13,1061.80,1010.47,1408.37,128.29,,
2004-12-14,1058.00,1009.06,1407.88,127.83,,
2004-12-15,1061.00,1008.36,1412.40,128.19,,
2004-12-16,1056.30,1012.75,1417.55,127.63,,
2004-12-17,1060.00,1014.45,1407.04,128.07,,
2004-12-20,1058.20,1012.83,1410.58,127.86,,
2004-12-21,1055.50,1015.88,1414.11,127.53,,
2004-12-22,1053.50,1008.62,1408.32,127.29,,
2004-12-23,1050.50,1009.90,1410.72,126.93,,
2004-12-24,1047.50,1009.93,1413.71,126.56,,
2004-12-27,1046.40,1009.06,1418.29,126.43,,
2004-12-28,1042.40,1011.16,1418.91,125.95,,
2004-12-29,1041.00,1008.33,1419.72,125.78,,
2004-12-30,1041.80,1004.63,1420.08,125.87,,
2004-12-31,1035.00,1009.46,1412.15,125.05,,
2005-01-03,1038.10,1009.82,1399.36,125.43,,
2005-01-04,1038.70,1011.00,1398.61,125.50,,
2005-01-05,1046.30,1002.88,1390.32,126.42,,
2005-01-06,1058.50,1013.11,1401.67,127.89,,
2005-01-07,1051.00,1003.92,1385.22,126.99,,
2005-01-10,1053.60,1006.50,1378.32,127.30,,
2005-01-11,1045.00,1003.84,1371.98,126.26,,
2005-01-12,1042.10,1008.03,1367.34,125.91,,
2005-01-13,1036.60,1012.30,1373.39,125.25,,
2005-01-14,1042.80,1011.94,1368.78,126.00,,
2005-01-17,1035.70,1013.70,1358.22,125.14,,
2005-01-18,1035.70,1009.65,1351.07,125.14,,
2005-01-19,1030.90,1005.56,1342.64,124.56,,
2005-01-20,1033.10,1006.92,1345.30,124.82,,
2005-01-21,1038.00,1002.90,1343.79,125.42,,
2005-01-24,1032.20,1003.60,1349.09,124.71,,
2005-01-25,1031.30,1000.10,1343.99,124.61,,
2005-01-26,1031.60,995.75,1339.53,124.64,,
2005-01-27,1028.50,995.45,1346.51,124.27,,
2005-01-28,1024.10,992.06,1336.14,123.74,,
2005-01-31,1025.50,990.44,1335.82,123.91,,
2005-02-01,1027.80,990.27,1342.72,124.18,,
2005-02-02,1027.80,990.46,1344.16,124.18,,
2005-02-03,1025.10,984.16,1335.50,123.86,,
2005-02-04,1026.70,982.58,1332.30,124.05,,
2005-02-07,1026.20,983.42,1319.28,123.99,,
2005-02-11,1033.20,977.30,1330.55,124.84,,
2005-02-14,1025.10,977.22,1326.99,123.86,,
2005-02-15,1026.50,978.08,1332.60,124.03,,
2005-02-16,1026.20,975.94,1336.11,123.99,,
2005-02-17,1025.60,973.89,1338.41,123.92,,
2005-02-18,1024.10,970.71,1339.52,123.74,,
2005-02-21,1023.20,968.39,1336.61,123.63,,
2005-02-22,1006.50,961.23,1326.06,121.61,,
2005-02-23,1003.80,958.10,1329.03,121.28,,
2005-02-24,1006.50,960.68,1333.21,121.61,,
2005-02-25,1008.50,956.38,1330.92,121.85,,
2005-02-28,1006.00,961.30,1335.26,121.55,,
2005-03-02,1007.30,962.08,1326.41,121.71,,
2005-03-03,1006.30,959.57,1321.88,121.59,,
2005-03-04,1008.20,955.91,1322.25,121.81,,
2005-03-07,1004.60,958.13,1329.29,121.38,,
2005-03-08,1004.30,956.02,1329.09,121.34,,
2005-03-09,1001.20,956.35,1336.60,120.97,,
2005-03-10,1000.00,961.08,1342.90,120.82,,
2005-03-11,1000.30,960.26,1343.40,120.86,,
2005-03-14,1000.80,957.06,1345.58,120.92,,
2005-03-15,1003.80,957.46,1341.78,121.28,,
2005-03-16,1003.80,960.94,1336.76,121.28,,
2005-03-17,1001.00,959.82,1341.34,120.94,,
2005-03-18,1004.90,958.87,1344.15,121.42,,
2005-03-21,1009.00,961.04,1338.14,121.91,,
2005-03-22,1009.40,959.96,1329.38,121.96,,
2005-03-23,1008.40,957.37,1319.39,121.84,,
2005-03-24,1013.30,953.25,1316.88,122.43,,
2005-03-25,1014.40,953.07,1313.65,122.56,,
2005-03-28,1016.80,950.28,1313.50,122.85,,
2005-03-29,1019.10,950.65,1320.14,123.13,,
2005-03-30,1023.60,954.41,1326.59,123.68,,
2005-03-31,1015.50,947.74,1312.74,122.70,,
2005-04-01,1008.00,937.50,1306.52,121.79,,
2005-04-04,1013.30,940.85,1307.46,122.43,,
2005-04-06,1013.30,939.11,1305.13,122.43,,
2005-04-07,1012.50,933.27,1307.64,122.33,,
2005-04-08,1015.10,934.03,1302.07,122.65,,
2005-04-11,1015.00,935.87,1313.00,122.64,,
2005-04-12,1013.20,940.76,1315.94,122.42,,
2005-04-13,1011.50,941.28,1307.46,122.21,,
2005-04-14,1016.30,941.80,1309.50,122.79,,
2005-04-15,1022.50,942.83,1308.80,123.54,,
2005-04-18,1019.70,945.30,1319.70,123.20,,
2005-04-19,1013.90,944.83,1320.60,122.50,,
2005-04-20,1008.90,943.34,1319.24,121.90,,
2005-04-21,1006.20,941.25,1319.43,121.57,,
2005-04-22,1004.00,940.52,1310.12,121.31,,
2005-04-25,998.90,942.98,1301.87,120.69,,
2005-04-26,998.90,944.14,1299.97,120.69,,
2005-04-27,1002.80,943.37,1295.62,121.16,,
2005-04-28,1002.60,946.30,1297.36,121.14,,
2005-04-29,997.10,945.75,1290.65,120.47,,
2005-05-02,1001.00,950.62,1287.29,120.94,,
2005-05-03,1002.30,952.76,1286.95,121.10,,
2005-05-04,999.80,954.92,1296.14,120.80,,
2005-05-06,998.00,953.38,1291.61,120.58,,
2005-05-09,1000.80,950.34,1281.72,120.92,,
2005-05-10,999.10,942.90,1282.44,120.72,,
2005-05-11,1000.20,946.26,1288.06,120.85,,
2005-05-12,999.70,941.34,1276.42,120.79,,
2005-05-13,1001.40,936.76,1269.37,120.99,,
2005-05-16,1009.00,937.30,1272.35,121.91,,
